,detail
1413,"Abfallsammelbehälter zerbeult und verschmiert. Nach der Totalsanierung des Susanna-Gossweiler-Platzes, inkl. zwei neuer Sitzbänke danke ZueriWieNeu.ch, ist nun nur noch der Abfallsammelbehälter zerbeult, kann nicht mehr richtig eingehängt werden und ist ziemlich verschmiert. Könnte er durch einen ""Hai"" ersetzt werden?"
1417,Es steht inzwischen nur noch das Bügelbrett da. Seit einigen Tagen.
1419,"Hier im Oerlikerpark wird immer wieder Randaliert ( Baume zerstört, Glasflaschen zerschlagen, usw ) Bitte hier umbeding mehr Polizeipresänz, oder Sicherheitsdienst. Problemzeiten : sobald es Dunkel wird, am Wochenende mehr als unter der Woche"
1426,Bei der Tramhaltestelle Rudolf-Brun-Brücke (etwas limmataufwärts) liegen zwei neuere Velos in der Limmat.
1428,Illegale Entsorgung
1429,Container verschmiert
1430,Container verschmiert
1431,Zwei Container verschmiert und beklebt
1432,Vor der Coopfiliale in Wipkingen fehlt ein Abfallkübel mit Aschenbecher. Der Boden ist übersäät mit Müll und Stummel.
1433,Container verschmiert
1434,Container verschmiert
1435,Drei Container verschmiert bei der Notschlafstelle
1442,"Altes Steppergerät im Gebüsch, bereits gemeldet. Wurde am angegebenen Termin nicht abgeholt. Möglicherweise waren die Koordinaten nicht ganz exakt. Es befindet sich von den Bänken her Flussaufwärts ca. 25m. links. Da wo der Zaun weiter weg vom Weg ist. Versteckt unter Ästen. ca. 3m vom Weg entfernt."
1444,Spinde auf Trottoir entsorgt
1446,ERZ Container versprayt
1447,ERZ Container versprayt
1449,ERZ Container versprayt
1451,ERZ Container versprayt
1456,Illegal entsorgter Kühlschrank. Steht so schon länger da und zieht neuen Abfall an. Und ist leider kein Einzelfall - passiert immer wieder.
1457,Kaum haben Sie geräumt hat's schon wieder....
1458,Illegale Entsorgung
1462,Baustellenleuchte auf Haltestellendach.
1464,Aufgerissener Zürisack
1469,"lllegale Abfallentsorgungen von Sofas, Betten, Schränken, Matratzen..."
1470,Illegale Abfälle vor Zurlinde 298
1473,"Sehr gehrte Damen und Herren Seit der Eröffnung des Schulhauses Leutschenbach, hat das Littering erheblich zugenommen. Gerade auf der Saatlenstrasse und über die Brücke (nähe ERZ) scheint die Situation zu eskalieren. Daher wären an diesen Orten mehrere Abfall-Haie sicherlich angebracht. Jener Abfalleimer an der Saatlenstrasse 275 ist defekt und soll umgehend ersetzt werden. Besten Dank - Unsere Kunden und Mitarbeiter der Saatlenstrasse 261 danken es ebenfalls."
1477,"Nach einer woche pause, diese woche wieder gleiche stelle"
1482,Velo beim Bürkliplatz im Wasser
1486,Abfall-Möbel
1489,An der Station Sihlcity-Nord bei den Abfallhaien die Aschenbecher nicht richtig eingesetzt.
1490,Zeitungen zur unzeit rausgestellt vor engimattstr. 17
1493,Über nacht übersäht mit papierabfall und bierdosen und scherben.
1503,Container versprayt und verklebt
1504,"An der Bushaltestelle Waffenplatz-/Bederstrasse der Linie 33 steht ein Abfall Container, der zeitweise ziemlich nahe an der Strasse steht. Oft ist die Umgebung neben dem Container mit Abfallsäcken oder Karton überstellt. An der Haltestellentafel sind mehrere Fahrräder angekettet. Das Aussteigen aus dem Bus ist auf diese Weise erschwert. Dieses Verhalten war, als die Apotheke noch im Laden neben der Haltestelle war, nicht zu beobachten. Freundliche Grüsse "
1506,Abfallkübel ist übervoll.
1513,Das WC am Escher Wyss Platz nimmt kein Geld mehr an. Das Geld rollt durch und kommt unten wieder raus. Das Gratis WC geht aber
1516,"Es steht einfach ein Velo da, so wie es aussieht war das Velo im Bach ( wahrscheindlich ein Geklautes ) steht auf dem Kiesweg neben dem Bushäuschen. <br/>  <br/> Bitte um Abholung"
1520,Container (einer) erneut verschmiert...
1525,"Es handelt sich nicht um einen Mangel, jedoch sind die Sitzbänke alle klebrig."
1529,Herumliegende Abfälle
1541,Coiffeur entsorgt den anfallenden Abfall illegal (keine Züri Säcke) im Haus-Container.
1543,Schmale Gasse stinkt nach Urin.
1544,"Starker Uringeruch am oberen Eingang des Fahrstuhls. Ähnliches gilt für alle Einbuchtungen oberhalb des Bahnhofs Stadelhofen, aber am Fahrstuhl ist es am schlimmsten."
1546,Am Bahnsteig in Wipkingen sind nicht ausreichend Abfallkübel montiert. Besonders an den Perronenden und bei den Treppen wären sie nützlich. Merci
1547,"Bei der Bushaltestelle Friedhof Witikon. Neben der Steintreppe, wuchert das Unkraut einen Meter hoch. Am Fusse der Treppe sammelt sich der Müll. "
1556,Wie immer ähnelt die Tramhaltestelle beim HB einer Müllhalde.
1558,"Illegal entsorgter Abfall (Kaffeemaschine, SBB-Gepäckwagen). Problem: Abfall lockt weiteren illegal entsorgten Müll an."
1561,"Abfall, Altmetall und Sperrgut"
1568,Mülleimer läuft über Sonderleerung möglich?
1569,Abfallhaufen
1572,Aludosen etc
1575,Der grüne Streifen zwischen Breitensteinstrasse + Limmat verkommt zur Müllhalde. Da liegen unter dem Gestrüpp Autoteppiche aus Plastik und viele leere Aludosen nebst sonstigem undefinierbarem Müll.
1578,"Sitzbänke auf Zehntenhausplatz sind verdreckt. Bänke unter den Bäumen sind sehr klebrig und ""grusig""."
1583,Abfall und Dreck im Ulmbergtunnel
1584,"Der Abfallkübel steht neben dem Ständer. Die Fixierung ist möglicherweise defekt. Zudem wäre eine Leerung empfehlenswert, da der Kübel direkt neben den Ruhebänken steht und unangenehme Gerüche verbreitet."
1587,"Die ganze Wiese, der Weg und die Stufen am Fluss sind voller Zigarettenstummel, was die Natur und das Wasser schädigt. Es sollte genügend Aschenbecher / Taschenaschenbecher geben. "
1589,Doppelmatratze und diverse Abfallsäcke illegal entsorgt.
1591,Veloordnung das velo steht seit längerem hier
1593,"Metallener Abfallbehälter randvoll, zudem im Ständer nicht richtig befestigt. Oertlichkeit: Zürich 7, Pfadiweg, Teilstück Waserstrasse bis Balgristweg."
1595,"Vandalismus: Sitzbank verschmiert, zerkratzt..."
1604,Es fehlen immer Hundekotbeutel! Bei den zwei Robidogs hat es seit Monaten NIE Hundekotbeutel.  Es nehmen sie nicht die Jugendlichen weg! Vielen Dank!!!! 
1608,Aludosen und Bierflaschen im Wasser an der Seepromenade rechts von der Badi Utokai.
1612,Sperrgut auf dem Trottoir
1613,Jedes Sommerwochenende Wiese mit Abfall und Glasscherben übersät. Abfallkübel reicht bei weitem nicht aus. Pausenplatz der Schule am Wasser völlig verdreckt.
1614,Es hat sehr viele Bierdosen im Wasser auf dem Seegrund.
1643,"Ein wahrscheinlich gestohlenes Fahrrad lehnt seit Monaten an einem Baum. Müsste mal abgeholt werden, bevor es überwachsen ist...!"
1660,Drucker wohl illegal entsorgt
1662,"Container sind stark verschmutzt und es stinkt gewaltig. Es wäre daher schön, wenn man die Container austauschen oder inwendig und aussen reinigen könnte."
1664,TV auf Trottoir déponiert.
1668,"Zigarettenstummel & Abfall Auf den Treppenstufen entlang der Limmat und auf der Liegewiese und rund um den Streichelbauernhof wimmelt es von Zigarettenstummeln, welche sehr giftig für Kinder und Natur sind. Ein Zigarettenstummel vergiftet 1000 l Wasser."
1669,"Zigarettenkippen Der Landenbergpark wird vor allem von Familien mit kleinen Kindern frequentiert, für die Kinder sind die Zigarettenkippen giftig, ebenso für die Natur. Zudem sieht es nicht ästhetisch aus."
1671,"A fall furniture, von Saumacker 28, ca. 1 woche"
1672,Dieser Ort ist praktisch immer zugemüllt und wird zu wenig oft gereinigt.
1673,"Guten Tag! Das Trottoir der Geranienstrasse wurde seit Anfang Mai nie gewischt. Seit ich dort wohne liegt eine Knopfbatterie an der gleichen Stelle. Diese Woche wurde die Strasse gereinigt, nicht aber das Trottoir oder am Randstein entlang. Vielen Dank, dass Sie mein Anliegen ernst nehmen und freundliche Grüsse"
1678,Müll deponiert
1680,"Es liegen BM-Spritzen herum, zum teil Nadel offen."
1694,Die Altglascontainer und der Alteisencontainer überquellen!
1703,"Zürich 2, Forellenweg: Abfall auf dem neuen Schiffssteg. Der schöne, neue Abfallbehälter ist vollgestopft und zu seinen ""Füssen"" sammelt sich weiterer Unrat an. Bitte baldmöglichst leeren. Besten Dank!"
1704,Übervolle Metallsammelstelle
1709,In den Müllbehältern hinter dem Haus sind nun schon wiederholt sehr viele (sicher 30 %) Nicht-Züri-Säcke.
1712,"Der abgebildete Abfallbehälter befindet sich bei einer Tisch/Bank kombination hinter dem Amtshaus Parkring 4. er ist sehr häufig übervoll! wird zu wenig of geleert. wir vom ssd wären sehr dankbar, für eine vermehrte Leerung vielen Dank"
1713,"Ausgediehnter Kinderwagen. Generelles Littering/Abfallproblem, manchmal auch gebrauchte Spritzen. Evtl. wäre eine Beleuchtung bei Bewegung hilfreich."
1728,Container versprayt
1729,Zwei Container versprayt
1742,"An der Ecke beim Durchgang in den Innenhof (hinter dem Restaurant Eisenhof) wird seit Jahren Sperrmüll und Elektroschrott entsorgt. Vom Bett über die Kommode bis hin zu Kinderspielzeugen, Fernseher und jede Menge Abfallsäcke.. Die Ecke hat sich leider etabliert als Deponie. Die Sachen werden jeweils in der Nacht und frühen Morgenstunden hingestellt.. <br/>  <br/> Liegen schon Sachen da, ist die Hemmschwelle natürlich viel tiefer, noch mehr Müll hinzustellen."
1755,Guten Morgen! Wie versprochen wurde diese Woche vor Haus Nr. 10 Trottoir und Randstein gewischt. Vielen Dank! Aber was ist mit Nr. 4 - 8? 
1757,Seit Wochen verunstaltet diese Polstergruppe unsere Strasse. Immer wieder wird diese Ecke bei der Garageneinfahrt als Mülldeponie missbraucht. 
1760,Mit Fahrrad und Kindern auf weg wegen blaettern ausgerutscht.
1765,Regelmässig Sperrmüll und Glas (oft zerbrochen) in der Ecke des Betriebskehrichts.
1773,"Picknickplatz beim Albisgütliweg ist voller Abfall (oberhalb Saalsporthalle, Nähe Credit Suisse)"
1774,Alter TV liegt schon über eine Woche bei Tramhaltestelle Escher-Wyss. Bitte abholen. Besten Dank!
1775,Seit einiger Zeit liegt hier ein verrostetes Kindervelo im Grünbeet. Wäre schön wenn das entsorgt würde.
1776,Velo in der Sihl gesichtet.
1781,Das Trottoir wird seit Wochen entweder nicht oder sehr schlecht gereinigt
1782,Die Treppe wird seit Wochen nicht gereinigt
1785,"Grüezi bei Stadt Zürich. Der Abfalleimer bei der Haltestelle Segantinistrasse ist regelmässig überfüllt. Weil dieser auch keinen Aschenbecher hat, liegen meisten 30-40 Zigarettenstummel am Trottoir. Kann man diesen kleinen und alten Eimer gegen einen der neuen Modellreihe mit Aschenbecher und Robidog kombiniert wechseln? In Höngg sind Robidog Säck leider zu selten montiert, wobei es aber sehr viele Hunde in der Umgebung dieser Haltestelle hat. Vielen Dank Freundliche Grüsse"
1788,Abfall - illegale Entsorgung
1789,Container versprayt
1790,Der Container für Metall war seit Samstag überfüllt und so konnten die Leute ihren Abfall nicht ordnungsgemäss entsorgen.
1792,Grüezi <br/>  <br/> Abwasserschacht auf der Höhe Weite Gasse 1 und 2. Unbekannte haben Öl in den Schacht geleert. Die Bsetzistein sind mit Ölflecken beschmiert und das Wasser ist dickflüssig.
1796,Illegal abgelegter abfall.
1800,Täglich liegt hier Abfall rum. Teilweise über lange Zeit. Die Strasse wird leider nicht in die tägliche Strassenreinigung der ERZ integriert. Könnte dies veranlasst werden? Das wäre ein echter Mehrwert! Vielen Dank.
1803,Illegal entsorgter müll
1804,Lift verdreckt
1805,Bei der Sammelstelle wir immer wieder Abfall illegal entsorgt.
1807,Uferweg an der Limmat Richtung Badi Letten vor der Kornhausbrücke
1810,Entsorgter Kinderwagen bei Bushaltestelle 'Schönauring'
1815,Wilde Müllkippe 
1816,"Immer wieder, praktisch täglich, wilder streuabfall und robidogsäckli, auch in der blumenrabatte entlang der treppe"
1820,Container versprayt
1823,Container versprayt. Hier steht noch ein Uraltcontainer aus Metall (vielleicht ist der ja auch privat)
1824,Container versprayt
1825,Unterführung vermüllt 
1826,Container versprayt
1827,Container versprayt
1828,Müll wohl illegal entsorgt
1829,Container versprayt
1830,Container versprayt
1831,Viele Glasscherben von 2 oder mehr Glasflaschen auf dem Weg und in der anliegenden Grünfläche (eine auf dem Weg vom Punkt zum Abfalleimer bei den Grills).
1833,Manessestr. in der Abfahrt zur Unterführung Richtung Manesseplatz: seit mehreren Tagen befinden sich zahlreiche Glasscherben auf der Velospur. Ausweichen ist infolge sehr oft zu schnell fahrender Autos gefährlich.
1835,Scherben am Boden
1840,Papiermüll verstreut auf der Strasse
1844,Ottenbergstrasse 28/30 
1856,Guten Tag <br/>  <br/> Seit dem 1. August liegt sehr viel abgebranntes Material neben dem Schulhaus Leutschenbach auf der Andreasstrasse sowie auf dem angrenzenden Schulhausareal!  <br/> Mit freundlichen Grüssen <br/> 
1857,(Koffer) geleert und weggeworfen .
1858,Seit ca. einer Woche liegt ein ganzer Hausrat auf dem Gehsteig :(
1861,Dieser Abfallkübel ist seit Jahren restlos beklebt und teils verschmiert. 
1862,Veloschrott
1864,Abfalleimer hält nicht mehr in Halterung.
1874,Container versprayt
1875,Container versprayt
1876,Container versprayt
1877,Abfall illegal entsorgt
1879,Container versprayt
1880,"Robidog schmutzig, verklebt und verschmiert"
1884,In der Unterführung Rosengartenstrasse/Nordstrasse liegt altes Sofa und weiterer Sperrmüll. Außerdem riecht es penetrant nach Urin.
1886,"Haus ist leerezogen, Abfall wird nicht mehr abgeholt, Fremde legen aber weiter Müll dazu. Schaut sehr schlecht aus, direkt neben unserem Restaurant."
1890,Seit Wochen steht da so ein Skandinavisches Langfahrrad. Mit Plattfuss. Angelehnt am Strom(?)kasten Ecke Vorhaldenstrasse/am Wettingertobel
1893,Illegaler Abfall
1895,Alter Schrank deponiert
1898,Entsorgter Sonnenschirm (weiss mit Holzstange) An der Sihlamtstrasse nach dem letzten Hauseingang (beschriftet mit Sihlhöllzlistrasse 13) um die Ecke steht der Schirm.
1912,Hier stehen zwei Eisenrahmen (ein kleines und ein grosses wie auf dem Bild) die nicht entsorgt werden. 
1914,Illegale Sperrmüllentsorgung
1915,"Neben Müll wird hier, ebenfalls seit Jahren und Woche für Woche, Sperrmüll und gerne auch mal Elektroschrott auf der Strasse entsorgt."
1916,Illegale Entsorgung 
1918,Müll und alte Möbel deponiert neben TextAid
1920,Im Hafen Enge beim Mythenquai schwimmen hunderte von Büchsen und Flaschen die bald sinken werden.
1921,Im Hafen Enge beim Mythenquai schwimmen hunderte von Büchsen und Flaschen die bald sinken werden.
1922,Sehr viel Abfall im Seeuferbereich! Bitte beseitigen!
1923,Uringestank
1926,Viel Abfall im See
1933,Starker Uringestank
1935,Angeblich sollte das Sperrgut heute abgeholt werden. Jetzt wird immer mehr deponiert
1936,Dieses Fahrrad steht seit dem Wochenende Zürifest auf dem Trottoir Regensdorferstrasse 56 8049 Zürich. Bitte abholen. Vielen Dank
1941,Abfallkübel verklebt
1945,Hinterlassenschaften der Streetparade.
1946,Schrott-Fahrrad seit gut einem Jahr an der Bushaltestelle Fernsehstudio
1949,Abfall auf öffentlichem Grund
1950,Alter Polstersessel auf Fußweg
1973,Illegal entsorgter Kühlschrank 
1975,Bei den Kleidersammlungscontainer steht ein wild entsorges defektes weisses Sofa
1976,Oelspur ? auf dem Trottoir. Wasser wäre bei diesem Wetter schon längst trocken!
1977,"Permanentes Chaos und stinkende, defekte Container plus drumherum liegender Müll."
1978,Permanentes Chaos und stinkende Container und drumherum liegender Müll. 
1984,Grosse Entsorgungsdeponie.
1990,Verklebte Einwurfbehälter
2007,"Der Besenwagen vom ERZ war wieder mal da. Das ist ja gut und recht. Aber, wieso nimmt der Herr NIE! den Besen in die Hand und fährt einfach nur mal kurz durch? Rechts im Bild häuft sich Müll und Grünabfall, welcher seit mehreren Wochen dort liegt. Eine solche Meldung wurde bereits schon vor mehreren Wochen erfasst. Geändert hat sich gar nichts! Links an der Mauer und rechts zwischen den Bäumen wird nicht gereinigt. Auf der linken Seite der Wand entlang wachsen Pflanzen der Wand entlang herunter, welche bis an den Boden kommen und rund 1 Meter Breite des Trottoirs nehmen. Dass dort der Besenwagen nicht hinkommt, ist nicht verwunderlich. Eine entsprechende Meldung wegen diesen Büschen wurde schon länger gemacht, aber diese wurde abgelehnt. Nur weil die Stadtpolizei den Rückschnitt verweigert, heisst das nicht, dass man dort nicht reinigen muss. Es kann doch nicht sein, dass man um ein sauberes Trottoir bitten muss! Wenn Ihre Angestellten die Arbeiten nicht machen können, müssen diese eben ersetzt werden. Ich hoffe schwer, das sich diese Situation auch ohne Dienstaufsichtsbeschwerde verbessern wird."
2008,"Der ERZ Besenwagen war da! Wird bei euch beim ""arbeiten"" auch noch studiert? Ich habe ihm zugesehen, als er frühmorgens das ganze hinterlassen hat. Aber danke für den neuen Belag, welcher wenigstens 2 Tage gehalten hat."
2009,Grüezi <br/>  <br/> Das Velo ist schon seit Monaten verwaist.
2011,Illegale Entsorgung
2013,"Im See und in der Limmat, auch bei der Frauenbadi schwimmt viel Abfall (Sonntag 18. August). Dieser wurde seit der Streetparade nie richtig entsorgt. Ebenfalls liegen viele Dosen und Flachen auf dem Seegrund (inbesondere am Rathausquai und bei der Frauenbadi."
2014,"Zwischen Bürkliplatz und Rathaus (am ganzen Rathausquai, inbesondere beim Bauschänzli und bei den Car-Parplätzen) liegt tonnenweise Abfall, der seit Wochen nicht entsorgt wurde. Ebenfalls finden sich weit und breite keine Abfallkörbe. Dort steigen die Touristen aus und sind als erstes mit dem ganzen Müll konfrontiert. Im weiteren sollte die armen Bäume von Dreck befreit werden. Nach der Streetparade wurde dort nie richtig aufgeräumt Super Sache für das Image der Stadt."
